"Spécialité","Abréviation"
"Mathématiques Spécialité","Maths"
"Sciences de la vie et de la Terre Spécialité","SVT"
"Numérique et Sciences Informatiques","NSI"
"Physique-Chimie Spécialité","PC"
"Sciences de l'ingénieur et sciences physiques","SISP"
"Sciences Economiques et Sociales Spécialité","SES"
"Histoire-Géographie, Géopolitique et Science politiques","HGGSP"
"Humanités, Littérature et Philosophie","HLP"
"Littérature et langues et cultures de l’Antiquité: Latin","Latin"
"Arts Plastiques Spécialité","Arts-Pla"
"Biologie/Ecologie","Bio-Eco"
"Cinéma-Audiovisuel Spécialité","Ciné"
"Musique Spécialité","Musique"
"Langues, littératures et cultures étrangères et régionales","LLCER"
"Théâtre-Expression dramatique Spécialité","Théâtre"
"Sciences de l'ingénieur","SI"
